Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
341,1,341,-5,15,40.4,31,11,1
342,1,342,-4,-15,40.4,1,12,1
343,1,343,-4,-14,40.4,2,12,1
344,1,344,-4,-13,40.4,3,12,1
345,1,345,-4,-12,40.4,4,12,1
346,1,346,-4,-11,40.4,5,12,1
347,1,347,-4,-10,40.4,6,12,1
348,1,348,-4,-9,40.4,7,12,1
349,1,349,-4,-8,40.4,8,12,1
350,1,350,-4,-7,40.4,9,12,1
351,1,351,-4,-6,40.4,10,12,1
352,1,352,-4,-5,40.4,11,12,1
353,1,353,-4,-4,40.4,12,12,1
354,1,354,-4,-3,40.4,13,12,1
355,1,355,-4,-2,40.4,14,12,1
356,1,356,-4,-1,40.4,15,12,1
357,1,357,-4,0,40.4,16,12,1
358,1,358,-4,1,40.4,17,12,1
359,1,359,-4,2,40.4,18,12,1
360,1,360,-4,3,40.4,19,12,1
361,1,361,-4,4,40.4,20,12,1
362,1,362,-4,5,40.4,21,12,1
363,1,363,-4,6,40.4,22,12,1
364,1,364,-4,7,40.4,23,12,1
365,1,365,-4,8,40.4,24,12,1
366,1,366,-4,9,40.4,25,12,1
367,1,367,-4,10,40.4,26,12,1
368,1,368,-4,11,40.4,27,12,1
369,1,369,-4,12,40.4,28,12,1
370,1,370,-4,13,40.4,29,12,1
371,1,371,-4,14,40.4,30,12,1
372,1,372,-4,15,40.4,31,12,1
373,1,373,-3,-15,40.4,1,13,1
374,1,374,-3,-14,40.4,2,13,1
375,1,375,-3,-13,40.4,3,13,1
376,1,376,-3,-12,40.4,4,13,1
377,1,377,-3,-11,40.4,5,13,1
378,1,378,-3,-10,40.4,6,13,1
379,1,379,-3,-9,40.4,7,13,1
380,1,380,-3,-8,40.4,8,13,1
381,1,381,-3,-7,40.4,9,13,1
382,1,382,-3,-6,40.4,10,13,1
383,1,383,-3,-5,40.4,11,13,1
384,1,384,-3,-4,40.4,12,13,1
385,1,385,-3,-3,40.4,13,13,1
386,1,386,-3,-2,40.4,14,13,1
387,1,387,-3,-1,40.4,15,13,1
388,1,388,-3,0,40.4,16,13,1
389,1,389,-3,1,40.4,17,13,1
390,1,390,-3,2,40.4,18,13,1
391,1,391,-3,3,40.4,19,13,1
392,1,392,-3,4,40.4,20,13,1
393,1,393,-3,5,40.4,21,13,1
394,1,394,-3,6,40.4,22,13,1
395,1,395,-3,7,40.4,23,13,1
396,1,396,-3,8,40.4,24,13,1
397,1,397,-3,9,40.4,25,13,1
398,1,398,-3,10,40.4,26,13,1
399,1,399,-3,11,40.4,27,13,1
400,1,400,-3,12,40.4,28,13,1
401,1,401,-3,13,40.4,29,13,1
402,1,402,-3,14,40.4,30,13,1
403,1,403,-3,15,40.4,31,13,1
404,1,404,-2,-15,40.4,1,14,1
405,1,405,-2,-14,40.4,2,14,1
406,1,406,-2,-13,40.4,3,14,1
407,1,407,-2,-12,40.4,4,14,1
408,1,408,-2,-11,40.4,5,14,1
409,1,409,-2,-10,40.4,6,14,1
410,1,410,-2,-9,40.4,7,14,1
411,1,411,-2,-8,40.4,8,14,1
412,1,412,-2,-7,40.4,9,14,1
413,1,413,-2,-6,40.4,10,14,1
414,1,414,-2,-5,40.4,11,14,1
415,1,415,-2,-4,40.4,12,14,1
416,1,416,-2,-3,40.4,13,14,1
417,1,417,-2,-2,40.4,14,14,1
418,1,418,-2,-1,40.4,15,14,1
419,1,419,-2,0,40.4,16,14,1
420,1,420,-2,1,40.4,17,14,1
421,1,421,-2,2,40.4,18,14,1
422,1,422,-2,3,40.4,19,14,1
423,1,423,-2,4,40.4,20,14,1
424,1,424,-2,5,40.4,21,14,1
425,1,425,-2,6,40.4,22,14,1
426,1,426,-2,7,40.4,23,14,1
